,n_samples,noise,SR,SR_time,TPOT,TPOTSR,AK,AKSR,LR,timeTPOT,timeTPOTSR,timeAK,timeAKSR,meanguess,generations,function_set,epochs,max_TPOT_time
0,100,0.01,0.023688403,39.5338757,0.055789993,0.024565968,1.359697199,0.192677634,3.570405265,602.1382527,600.2137587,61.69775653,149.4249499,3.678177684,50,"['add', 'sub', 'mul', 'div']",,10
1,100,0.01,4.569476003,38.80795622,6.338795848,4.569786489,5.638151176,5.219114048,5.747760446,600.3906026,600.4969542,37.75726891,31.67417312,5.604873597,50,"['add', 'sub', 'mul', 'div']",,10
2,100,0.01,0.027104027,37.07740593,0.026460862,0.027182487,0.107488008,0.036520976,2.528557559,600.2546194,600.4312441,101.1546452,34.70457506,2.55911461,50,"['add', 'sub', 'mul', 'div']",,10
3,100,0.01,0.009173917,35.70839143,0.048152926,0.011846025,0.130518941,0.031737449,0.996408674,600.474267,600.7159767,62.19533229,64.11327624,1.704909594,50,"['add', 'sub', 'mul', 'div']",,10
4,100,0.01,0.046291733,38.22902536,0.048423265,0.050181076,0.071732642,0.054626542,1.174521697,601.0522947,600.6907384,197.1747031,93.7535181,4.766118324,50,"['add', 'sub', 'mul', 'div']",,10
5,100,0.01,0.010939433,36.92205143,0.01319773,0.013289427,0.482488421,0.104260307,1.826240025,601.8159914,600.3220148,36.76343536,79.96703887,1.713113174,50,"['add', 'sub', 'mul', 'div']",,10
6,100,0.01,18.64658331,36.35258818,19.2295673,18.30122723,18.75486474,19.14715394,19.2001565,601.5109434,600.0947824,19.44684839,18.89242697,19.45154042,50,"['add', 'sub', 'mul', 'div']",,10
7,100,0.01,0.03490487,39.00088048,1.172312459,0.033798604,0.460029153,0.121136108,2.419292404,605.0122812,600.2932599,194.66049,84.68977404,6.310214322,50,"['add', 'sub', 'mul', 'div']",,10
8,100,0.01,0.043672016,39.59607601,0.319643363,0.048109916,0.837677052,0.135804843,4.530834061,605.8356645,600.2139904,163.3760595,127.7932336,2.37547839,50,"['add', 'sub', 'mul', 'div']",,10
9,100,0.01,0.095464117,40.60713196,2.788049886,0.048782707,7.214034788,2.734248137,6.893068023,607.7184219,600.1931605,25.52352047,26.80731463,11.68104362,50,"['add', 'sub', 'mul', 'div']",,10
10,100,0.01,0.044894767,38.81039453,0.065124813,0.043847267,0.492391331,0.10978449,2.62352768,617.4463208,601.3035953,192.026561,200.9060161,7.051856026,50,"['add', 'sub', 'mul', 'div']",,10
11,100,0.01,1.414021843,46.56413531,10.17640636,1.586047592,10.62064657,3.496064649,13.33653764,602.6291785,600.5357172,37.96541953,195.1904533,12.08138356,50,"['add', 'sub', 'mul', 'div']",,10
12,100,0.01,1.877644228,37.4521203,1.051005043,1.721959219,1.266484035,1.309077323,2.366853648,600.0706863,603.4404867,84.69159198,134.7350702,3.438214828,50,"['add', 'sub', 'mul', 'div']",,10
13,100,0.01,45.72406108,47.6067431,36.52376141,46.04941301,33.57907021,21.58864345,41.30913137,608.3910165,600.068043,199.7803621,77.41149259,54.26590712,50,"['add', 'sub', 'mul', 'div']",,10
14,100,0.01,0.037908864,37.79409409,0.039901693,0.039234318,0.638650106,0.087711733,2.549874319,600.8316915,600.1617146,29.8227365,98.98353744,4.293539806,50,"['add', 'sub', 'mul', 'div']",,10
15,100,0.01,0.018909174,37.34664607,2.048781256,0.023245761,1.599925822,0.578855968,3.315896709,601.124727,600.3113732,193.9275033,165.2205541,3.201110501,50,"['add', 'sub', 'mul', 'div']",,10
16,100,0.01,0.018351226,36.20659566,0.019387581,0.018767301,0.043544508,0.031261293,1.2293426,600.2020371,604.3588977,66.79445863,38.0693059,1.928502129,50,"['add', 'sub', 'mul', 'div']",,10
17,100,0.01,0.039101599,39.55142641,4.936048525,0.040037711,5.497626396,0.496534597,6.232142298,605.6443162,601.1917012,46.05569935,215.3079014,6.386889006,50,"['add', 'sub', 'mul', 'div']",,10
18,100,0.01,0.037109273,38.14466166,0.041272735,0.051159999,0.333554916,0.122432568,3.659044147,600.8812046,603.522969,178.2410696,108.0103188,3.576621041,50,"['add', 'sub', 'mul', 'div']",,10
19,100,0.01,1.56650177,37.61927652,2.661422383,2.135169083,3.073044514,2.517535433,3.780303137,600.8207817,601.1155212,25.83312201,15.53383183,3.321052986,50,"['add', 'sub', 'mul', 'div']",,10
20,100,0.01,0.021930975,39.43388224,0.036529303,0.022231415,3.388971728,0.361690039,3.734948961,601.7951367,600.9996221,11.36427808,27.26654387,3.701803588,50,"['add', 'sub', 'mul', 'div']",,10
21,100,0.01,0.026521455,37.04900527,0.088616768,0.02876844,0.90924014,0.112941989,2.133372372,603.8459685,600.3564897,55.05094028,164.9647567,2.796928064,50,"['add', 'sub', 'mul', 'div']",,10
22,100,0.01,5.324076524,38.16959667,5.205396746,5.535005464,4.431407604,4.95807636,5.46124379,600.8016851,604.9341891,30.05260324,18.81034231,5.311735374,50,"['add', 'sub', 'mul', 'div']",,10
23,100,0.01,0.027075252,35.74231291,1.989173398,0.026052955,1.104732174,0.135453922,3.241799275,600.2606504,600.3518455,54.34813356,107.1320879,3.21202351,50,"['add', 'sub', 'mul', 'div']",,10
